#,单词,解释
1,aback,/ə'bæk//ə'bæk/ adv. 向后；处于顶风位置；向后地
2,abandonment,/əˈbændəndmənt//ə'bændənmənt/ n. 放弃；抛弃；遗弃；放任
3,abate,"/ə'beɪt//ə'bet/ - vt. 减少, 减轻, 减退 - 降价，对(价格)打折扣 - 减去，扣除，省略 - 撤消(诉讼)，废除(法令) - vi. 减少, 减轻, 减退;消除;缓和 - 撤消(诉讼)，废除(法令)；(法令等)被废除，(诉讼等)被撤消 - adj. 可以降价的，可以撤消的，可以废除的 - n. 减少, 减轻,折扣，废除，中止 - adj. 撤消者，废除者 - adj. 撤消者，废除者 时 态: abated, abating, abates..."
4,abdomen,/'æbdəmən//'æbdəmən/ n. 腹部；下腹；腹腔 Abdomen腹 形容词: abdominal 副 词: abdominally
5,abdominal,/æb'dɒmɪn(ə)l//æb'dɑmənl/ - adj. 腹部的 - (鱼)有腹鳍的 - n. (常用复数)腹肌 副 词: abdominally
6,abduct,"/əb'dʌkt//æb'dʌkt/ - vt. 劫持;诱拐 - 使(肢体等)外展 - n. 绑架，拐骗，劫持 - n. 绑架者，拐骗者，劫持者 时 态: abducted, abducting, abducts 名 词: abduction..."
7,aberration,/ˌæbə'reɪʃ(ə)n//'æbə'reʃən/ - n. 偏差; 越轨 - 反常，异常行为
8,abide,"/ə'baɪd//ə'baɪd/ - vt. 容忍, 忍受 - 等候 - vi. 逗留, 居住 时 态: abode , abided abiding, abides 名 词: abider"
9,abiding,/ə'baɪdɪŋ//ə'baɪdɪŋ/ - adj. 持久的，永久的；不变的 - v. 遵守；容忍；继续存在（abide的现在分词） 副 词: abidingly
10,abject,/'æbdʒekt//'æbdʒɛkt/ - adj. (指境况)凄惨的;绝望的 - 糟透的，蹩脚的 - 卑鄙的，卑劣的 - 卑躬屈膝的，奴性的 - n. 弃儿 - adv. 凄惨地;绝望地；糟透地，蹩脚地 - n. 凄惨;绝望；卑鄙，卑劣 - n. 凄惨;绝望；卑鄙，卑劣 副 词: abjectly 名 词: abjectness or...
